Model,Context_Length,Strand,Log_Likelihood
pre_train,10000,+,-0.3753703
pre_train,10000,+,-16877.9
pre_train,10000,+,-24114900.0
pre_train,10000,+,-141.1008
pre_train,10000,+,-0.8050986
pre_train,10000,+,-453.7805
pre_train,10000,+,-32.6203
pre_train,10000,+,-77337.91
pre_train,10000,+,-487973.1
pre_train,10000,+,-63043.08
pre_train,10000,+,-24.30248
pre_train,10000,+,-545.2851
pre_train,10000,+,-301543.0
pre_train,10000,+,-216338000.0
fine_tuned,10000,+,-3.145233
fine_tuned,10000,+,-7.568044
fine_tuned,10000,+,-32.44993
fine_tuned,10000,+,-0.4943657
fine_tuned,10000,+,-71.86275
fine_tuned,10000,+,-26.05872
fine_tuned,10000,+,-15.18028
fine_tuned,10000,-,-3.533768
fine_tuned,10000,+,-1402.196
fine_tuned,10000,+,-81.73087
fine_tuned,10000,+,-933381400000.0
fine_tuned,10000,+,-123.3327
fine_tuned,10000,+,-3252.753
fine_tuned,10000,+,-5553315.0
fine_tuned,10000,+,-0.3021122
fine_tuned,10000,+,-1936406000.0
fine_tuned,10000,+,-175545500.0
fine_tuned,10000,+,-10529.61
fine_tuned,10000,-,-0.07364969
fine_tuned,10000,+,-6846.608
fine_tuned,10000,-,-0.5278919
fine_tuned,10000,-,-3.049239
fine_tuned,10000,+,-23227.49
fine_tuned,10000,-,-1.887477
fine_tuned,10000,-,-880322400.0
fine_tuned,10000,-,-153.3049
fine_tuned,10000,-,-2567.799
fine_tuned,10000,-,-616.7347
fine_tuned,10000,-,-43.38701
fine_tuned,10000,-,-230.1957
fine_tuned,10000,-,-0.07202744
fine_tuned,10000,-,-12.97595
fine_tuned,10000,-,-1280851000.0
fine_tuned,10000,-,-8363749000000000.0
fine_tuned,10000,-,-472.9286
fine_tuned,10000,-,-2.391771
fine_tuned,10000,+,-70752.43
fine_tuned,10000,+,-11.38999
fine_tuned,10000,+,-42.22184
fine_tuned,10000,+,-8.010694
fine_tuned,10000,+,-50.86794
fine_tuned,10000,-,-7628537000000000.0
fine_tuned,10000,-,-0.09576269
fine_tuned,10000,+,-457.3673
fine_tuned,10000,+,-2188839.0
fine_tuned,1000,-,-62043.28
fine_tuned,25000,-,-5968829.0
fine_tuned,25000,-,-1455370.0
fine_tuned,25000,-,-1.44018
fine_tuned,25000,-,-5.329884
fine_tuned,25000,-,-3.491672
fine_tuned,25000,-,-0.2093654
fine_tuned,25000,-,-3125.237
fine_tuned,25000,-,-32.05199
fine_tuned,25000,-,-187.064
fine_tuned,25000,-,-963927.2
fine_tuned,25000,+,-1.612549
fine_tuned,25000,-,-342.7963
fine_tuned,25000,-,-62.81065
fine_tuned,25000,-,-6917765000.0
fine_tuned,25000,-,-0.1359024
fine_tuned,25000,-,-1375940.0
fine_tuned,25000,-,-247.6298
fine_tuned,25000,-,-261.2927
fine_tuned,25000,-,-16909.94
fine_tuned,25000,-,-2573.233
fine_tuned,25000,-,-762.4095
fine_tuned,25000,-,-26.42665
fine_tuned,25000,-,-1162.156
fine_tuned,25000,-,-93127.4
fine_tuned,25000,-,-11046.14
fine_tuned,25000,-,-7661.994
fine_tuned,25000,-,-610.1931
fine_tuned,25000,-,-233017500.0
fine_tuned,25000,-,-13.87035
fine_tuned,25000,-,-2440.497
fine_tuned,25000,-,-659667.4
fine_tuned,25000,-,-10130.24
fine_tuned,25000,-,-223.9735
fine_tuned,25000,-,-5021214000.0
fine_tuned,25000,-,-100.379
fine_tuned,25000,-,-0.4636948
fine_tuned,25000,+,-0.1429294
fine_tuned,25000,-,-57425640.0
fine_tuned,25000,-,-219.4634
fine_tuned,25000,-,-6.739783
fine_tuned,25000,-,-90.42981
fine_tuned,25000,-,-84.82969
fine_tuned,25000,-,-65.75519
fine_tuned,25000,-,-204.6573
fine_tuned,25000,-,-48.75366
fine_tuned,25000,-,-116.8878
fine_tuned,25000,-,-0.1592051
fine_tuned,25000,-,-3.278325
fine_tuned,25000,+,-0.1953705
fine_tuned,25000,+,-2.608202
fine_tuned,25000,-,-2.004358
fine_tuned,25000,-,-869.7632
fine_tuned,25000,-,-30.17101
fine_tuned,25000,-,-0.6168689
fine_tuned,25000,-,-2880.83
fine_tuned,25000,-,-1856.449
fine_tuned,25000,-,-460.1089
fine_tuned,25000,-,-635812.9
fine_tuned,25000,-,-30.34469
fine_tuned,25000,-,-9.088664
fine_tuned,25000,-,-7306.427
fine_tuned,25000,-,-0.5507917
fine_tuned,25000,-,-114.3282
fine_tuned,25000,-,-703337700.0
fine_tuned,25000,-,-1387.44
fine_tuned,25000,-,-2425.045
fine_tuned,25000,-,-18257.79
fine_tuned,25000,+,-16.57547
fine_tuned,25000,-,-163.8631
fine_tuned,25000,-,-192.6438
fine_tuned,25000,-,-235097.6
fine_tuned,25000,-,-0.8454475
fine_tuned,25000,-,-7843913.0
fine_tuned,25000,-,-4.312352
fine_tuned,25000,-,-9.777165
fine_tuned,25000,-,-13.07342
fine_tuned,25000,-,-39.02055
fine_tuned,25000,-,-1387.235
fine_tuned,25000,-,-133512.7
fine_tuned,25000,-,-240.105
fine_tuned,25000,-,-178.3375
fine_tuned,25000,-,-10.39204
fine_tuned,25000,+,-32.38814
fine_tuned,25000,+,-39.92232
fine_tuned,25000,+,-0.9689046
fine_tuned,25000,+,-71.34791
fine_tuned,25000,+,-3.292077
fine_tuned,25000,+,-403.1066
fine_tuned,25000,+,-874573.5
fine_tuned,25000,+,-6379.028
fine_tuned,25000,+,-63576.8
fine_tuned,25000,+,-7024.365
fine_tuned,25000,+,-3.495651
fine_tuned,25000,+,-99.47502
fine_tuned,25000,+,-871796.7
fine_tuned,25000,+,-4.797493
fine_tuned,25000,+,-1251711.0
fine_tuned,25000,+,-69662.66
fine_tuned,25000,+,-16.28295
fine_tuned,25000,+,-5.784461
fine_tuned,25000,+,-992.0599
fine_tuned,25000,+,-0.175907
fine_tuned,25000,+,-96.6567
fine_tuned,25000,+,-10681.79
fine_tuned,25000,+,-6.188142
fine_tuned,25000,+,-17.79538
fine_tuned,25000,+,-1157.43
fine_tuned,25000,+,-554.0681
fine_tuned,25000,+,-1.998021
fine_tuned,25000,+,-7740532.0
fine_tuned,25000,+,-37.7366
fine_tuned,25000,+,-46.45145
fine_tuned,5000,+,-3.153967
fine_tuned,5000,+,-5827.898
fine_tuned,5000,+,-7463.925
fine_tuned,5000,+,-55.1816
fine_tuned,5000,+,-1618.814
fine_tuned,5000,+,-12.70202
fine_tuned,5000,+,-3.304932
fine_tuned,5000,+,-115482.0
fine_tuned,5000,+,-61.55702
fine_tuned,5000,+,-594.9386
fine_tuned,5000,-,-138.0214
fine_tuned,5000,-,-10.61162
fine_tuned,5000,-,-50.67186
